·ûºÅÕ»                               ×´Ì¬Õ»                                                                                       ÊäÈë´®                                                                          ACTION         GOTO      
#BC(){TXXXXXXTXWh                    0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,17,                                           2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                r13              21
#BC(){TXXXXXXTXWD                    0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,21,                                           2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                S29
#BC(){TXXXXXXTXWD2                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,21,29,                                        =3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                 r21              30
#BC(){TXXXXXXTXWDN                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,21,30,                                        =3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                 S47
#BC(){TXXXXXXTXWDN=                  0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,21,30,47,                                     3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                  S62
#BC(){TXXXXXXTXWDN=3                 0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,21,30,47,62,                                  ;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                   r35              63
#BC(){TXXXXXXTXWDN=Y                 0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,21,30,47,63,                                  ;f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                   S74
#BC(){TXXXXXXTXWDN=Y;                0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,21,30,47,63,74,                               f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                    r20              23
#BC(){TXXXXXXTXWT                    0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,                                           f(2=3;2<=3;2=2+3){2=3;}r3;}#                                                    S16
#BC(){TXXXXXXTXWTf                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,                                        (2=3;2<=3;2=2+3){2=3;}r3;}#                                                     S27
#BC(){TXXXXXXTXWTf(                  0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,                                     2=3;2<=3;2=2+3){2=3;}r3;}#                                                      S39
#BC(){TXXXXXXTXWTf(2                 0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,39,                                  =3;2<=3;2=2+3){2=3;}r3;}#                                                       S56
#BC(){TXXXXXXTXWTf(2=                0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,39,56,                               3;2<=3;2=2+3){2=3;}r3;}#                                                        S37
#BC(){TXXXXXXTXWTf(2=3               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,39,56,37,                            ;2<=3;2=2+3){2=3;}r3;}#                                                         r35              66
#BC(){TXXXXXXTXWTf(2=Y               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,39,56,66,                            ;2<=3;2=2+3){2=3;}r3;}#                                                         r29              41
#BC(){TXXXXXXTXWTf(H                 0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,                                  ;2<=3;2=2+3){2=3;}r3;}#                                                         S58
#BC(){TXXXXXXTXWTf(H;                0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,                               2<=3;2=2+3){2=3;}r3;}#                                                          S68
#BC(){TXXXXXXTXWTf(H;2               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,68,                            <=3;2=2+3){2=3;}r3;}#                                                           r34              72
#BC(){TXXXXXXTXWTf(H;Y               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,72,                            <=3;2=2+3){2=3;}r3;}#                                                           S86
#BC(){TXXXXXXTXWTf(H;Y<              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,72,86,                         =3;2=2+3){2=3;}r3;}#                                                            S103
#BC(){TXXXXXXTXWTf(H;Y<=             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,72,86,103,                     3;2=2+3){2=3;}r3;}#                                                             r43              90
#BC(){TXXXXXXTXWTf(H;YS              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,72,90,                         3;2=2+3){2=3;}r3;}#                                                             S62
#BC(){TXXXXXXTXWTf(H;YS3             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,72,90,62,                      ;2=2+3){2=3;}r3;}#                                                              r35              106
#BC(){TXXXXXXTXWTf(H;YSY             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,41,58,72,90,106,                     ;2=2+3){2=3;}r3;}#                                                              r31              71
